name|Price|Raiting|Votes|5|3|Pointer Device|Web Camera|Included Software|HDD Capacity|Keyboard|Brand|Audio I/O Channels|Sales Package|Ideal For|RAID Configurations|
[]|['33']|['Rs. 18,999                ']|['19']|['3.7']|['Asus X551CA-SX075D Laptop (3rd Gen CDC/ 2GB/ 500GB/ DOS)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['206']|['Rs. 35,490                ']|['86']|['4.1']|['Dell Inspiron 15 3521 Laptop (3rd Gen Ci3/ 4GB/ 500GB/ Win8)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['47']|['Rs. 22,699                ']|['17']|['4']|['Acer Aspire E E1-510 Notebook (4th Gen PQC/ 2GB/ 500GB/ Linux) (NX.MGRSI.001)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['89']|['Rs. 43,100                ']|['37']|['3.8']|['Lenovo Essential G400s (59-383645) Laptop (3rd Gen Ci5/ 4GB/ 500GB/ Win8/ 2GB Graph/ Touch)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['34']|['Rs. 28,990                ']|['13']|['4.3']|['Dell V3540 Latitude Intel Core i3  -  15.6 inch, 500 GB HDD, 4 GB DDR3, Linux/Ubuntu Laptop']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['50']|[]|['14']|['4.3']|['Apple MD711HN/B MacBook Air (Ci5/ 4GB/ 128GB Flash/ Mac OS X Mavericks)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['20']|['Rs. 28,988                ']|['4']|['4']|['Dell Inspiron 15 3542 Notebook (4th Gen Ci3/ 4GB/ 500GB/ Ubuntu)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['52']|['Rs. 29,250                ']|['19']|['3.9']|['Acer Aspire E1-471 Notebook (3rd Gen Ci3/ 4GB/ 500GB/ Linux) (UN.M0QSI.003)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['26']|['Rs. 30,390                ']|['6']|['4']|['HP 15-G015AU Notebook (APU Quad Core A4/ 4GB/ 500GB/ Win8.1)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['51']|['Rs. 41,550                ']|['24']|['3.8']|['Lenovo Essential G505S (59-380131) Laptop (APU Quad Core A10/ 4GB/ 1TB/ Win8/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['97']|['Rs. 51,490                ']|['42']|['4.1']|['Dell Inspiron 15 Laptop (4th Gen Ci5/ 6GB/ 1TB/ Win8/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['41']|['Rs. 24,990                ']|['23']|['3']|['Sony VAIO Fit 15E SVF15413SNB Laptop (APU Quad Core A8/ 2GB/ 500GB/ Win8)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['8']|['Rs. 35,990                ']|['4']|['3.9']|['HP 240 G2 Notebook (3rd Gen Ci3/ 4GB/ 500GB/ Free DOS) (J7V31PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['46']|['Rs. 19,884                ']|['18']|['4.3']|['Asus X200CA-KX072D Netbook (CDC/ 2GB/ 500GB/ DOS)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['17']|['Rs. 42,990                ']|['6']|['4.1']|['Dell Inspiron 15 3542 Notebook (4th Gen Ci5/ 4GB/ 1 TB/ Win8.1)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['40']|['Rs. 26,899                ']|['24']|['3.7']|['Asus X200CA-KX219D VivoBook (3rd Gen ci3/ 4GB/ 500GB/ DOS)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['19']|['Rs. 17,490                ']|['5']|['2.9']|['Asus X200MA-KX140D X Others  -  11.6 inch, 500 GB HDD, 2 GB DDR3, DOS Netbook']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['15']|['Rs. 43,790                ']|['6']|['4.1']|['Dell Inspiron 15 3542 Notebook (4th Gen Ci5/ 4GB/ 1TB/ Win8.1/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['51']|['Rs. 34,490                ']|['29']|['4.7']|['Toshiba Satellite L50D-B 83110 Notebook (APU Quad Core A8/ 8GB/ 1TB/ Win8.1/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['21']|['Rs. 19,990                ']|['10']|['4']|['Asus X551CA-SX043D X Pentium Dual Core  -  15.6 inch, 500 GB HDD, 2 GB DDR3, DOS Laptop']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['153']|['Rs. 34,900                ']|['60']|['4.1']|['Dell Inspiron 15 352134500iBU1 Laptop (3rd Gen Ci3/ 4GB/ 500GB/ Linux)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['7']|['Rs. 27,490                ']|['4']|['3.9']|['Dell Inspiron 15 3542 Notebook (4th Gen PDC/ 4GB/ 500GB/ Win8.1)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
