"Listing","cost","date","blank","amenities","Address","Bedrooms","Bathrooms","Balconies","Furnished","Possession Status","Floor Number","Total Floors","Units on the Floor ","Carpet/Builtup Area ","Additional Rooms ","Facing ","Overlooking ","Age of Construction ","Transaction Type ","Type of Ownership ","Units Available ","Plot Area ","Possession By",
2 BHK, 1050 Sq-ft Flat For Sale","38.0Lac","Dec2614","ROWaterSystemInternet/Wi-FiConnectivityPrivateTerrace/GardenVaastuCompliantPipedGasAirConditionedIntercomFacilityMaintenanceStaffWasteDisposalJoggingandStrollingTrackBanquetHallWaterStorageDTHTelevisionFacilityConferenceRoomService/GoodsLiftBar/LoungeVisitorParkingCafeteria/FoodCourtReservedParkingParkOutdoorTennisCourtsSecurityLaundryServiceLiftPowerBackUpClubHouseGymnasiumSwimmingPool","L Zone, Dwarka Sector 21, New Delhi - Dwarka - 110077","2","2","2","Semi-Furnished","Under Construction","7 ","15 ","7 ","N/A","N/A","North - East ","Garden/Park , Pool , Main Road ","N/A","New Property","Freehold","1","N/A","Dec, 18"
3 BHK, 217 Sq-yrd Builder Floor Apartment For Sale","2.25Crore","Dec2614","VaastuCompliantPipedGasWasteDisposalParkJoggingandStrollingTrackSecurityWaterStorageLiftPowerBackUpClubHouseGymnasium","B-5 Block, B 5 Block, New Delhi - South - 110029","3","3","1","Furnished","Ready to Move","2 ","3 ","1 ","N/A","N/A","South - East ","N/A","10 to 15 years","Resale","Freehold","1","N/A","N/A"
1 BHK, 650 Sq-ft Flat For Sale","60.0Lac(Negotiable)","Dec2614","PrivateTerrace/GardenPipedGasAirConditionedMaintenanceStaffReservedParkingParkSecurityLaundryServiceWaterStorageLiftPowerBackUpService/GoodsLiftClubHouseRainWaterHarvestingVisitorParking","Kaveri apartment, Sector-d, Pkt 6., Vasant Kunj Sector D, New Delhi - South - 110070","1","2","N/A","Furnished","Ready to Move","2 ","4 ","12 ","N/A","N/A","East ","Pool , Main Road ","Less than 5 years","Resale","Freehold","4","N/A","N/A"
2 BHK, 800 Sq-ft Builder Floor Apartment For Sale","40.0Lac(Negotiable)","Dec2614","ReservedParkingSecurityLiftClubHouse","Dwarka, Sec-23, A-79, Block-a, Pochanpur Extension, New Delhi, Dwarka Sector 23, New Delhi - Dwarka - 110077","2","2","1","Semi-Furnished","Ready to Move","2 ","4 ","N/A","N/A","N/A","East ","Garden/Park ","New Construction","New Property","POA","1","N/A","N/A"
3 BHK, 1200 Sq-ft Flat For Sale","1.0Crore","Dec2614","","Pragati Apartments West Enclave Pitampura Delhi, West Enclave, Pitampura, New Delhi - North","3","2","2","Semi-Furnished","Ready to Move","3 ","4 ","4 ","N/A","Puja Room","East ","Garden/Park , Main Road ","5 to 10 years","Resale","Freehold","1","N/A","N/A"
4 BHK, 2250 Sq-ft Builder Floor Apartment For Sale","2.75Crore(Negotiable)","Dec2514","VaastuCompliantPipedGasReservedParkingWasteDisposalParkSecurityWaterStorageLiftPowerBackUpRainWaterHarvestingVisitorParking","dwarka sector 12, Dwarka Sector 12, New Delhi - Dwarka - 110075","4","4","3","Furnished","Ready to Move","1 ","4 ","1 ","","","","","","","","Servant Room","","N/A"
2 BHK, 900 Sq-ft Flat For Sale","36.90Lac","Dec2514","ROWaterSystemInternet/Wi-FiConnectivityPrivateTerrace/GardenVaastuCompliantPipedGasAirConditionedIntercomFacilityMaintenanceStaffWasteDisposalJoggingandStrollingTrackBanquetHallWaterStorageDTHTelevisionFacilityConferenceRoomService/GoodsLiftBar/LoungeVisitorParkingCafeteria/FoodCourtReservedParkingParkOutdoorTennisCourtsSecurityLaundryServiceLiftPowerBackUpClubHouseRainWaterHarvestingGymnasiumSwimmingPool","ANTRIKSH VICTORIAN COUNTY, DWARKA, NEW DELHI, Bharthal, Dwarka, New Delhi - Dwarka","2","2","4","Semi-Furnished","Under Construction","6 ","27 ","2 ","N/A","","","","N/A","Puja Room","East ","Garden/Park , Pool , Main Road ","","Jun, 18"
3 BHK, 725 Sq-ft Builder Floor Apartment For Sale","36.0Lac","Dec2414","VaastuCompliantIntercomFacilityReservedParkingWaterStorageLiftVisitorParking","Uttam Nagar, New Delhi, Uttam Nagar, New Delhi - West - 110059","3","2","1","Semi-Furnished","Ready to Move","2 ","4 ","N/A","N/A","","","","Store","North - East ","Main Road ","New Construction","","N/A"
3 BHK, 830 Sq-ft Builder Floor Apartment For Sale","30.0Lac","Dec2414","VaastuCompliantIntercomFacilityWasteDisposalWaterStorageLift","Uttam Nagar, New Delhi - West","3","2","1","Furnished","Ready to Move","1 ","4 ","N/A","N/A","N/A","N/A","N/A","New Construction","New Property","N/A","N/A","N/A","N/A"
1 BHK, 505 Sq-ft Builder Floor Apartment For Sale","16.71Lac","Dec2414","ROWaterSystemVaastuCompliantIntercomFacilityReservedParkingWasteDisposalWaterStorageConferenceRoomVisitorParking","NEAR WEST METRO STATION, UTTAM NAGARNEW DELHI, Uttam Nagar, New Delhi - West - 110059","1","1","1","Semi-Furnished","Ready to Move","1 ","4 ","2 ","","N/A","","","","","","","","N/A"
