
"The book is great to study organic chemistry but requires you to have atleast some basic knowledge of the subject..
Pros..
1. Includes all required reaction mechanisms to understand better -an edge over books books like Arihant Organic Chemistry by RK Gupta 
2. Stereochemistry(and explanation with structures) is just mind blowing.
3.A lot of irrelevant parts(wrt IIT JEE) has been removed.
4. Exercises and intext questions are far better than Indian writers
5. Good explanations.
Cons..
1. As the book is an adaptive version of the original Original Chemistry By Solomons & Fryhle a lot of good illustrations have also been removed in order to make it compact.
2. Two chapters that have been added at the end of the book are not so good.
3. It requires a pre-knowledge of the subject else you will be stuck many a times.
Overall, the book has some problems but is good enough to prepare you well for competitive exams.","22 Dec 2013","Far Ahead Others","5","Adesh","http://www.flipkart.com/organic-chemistry-jee-main-advanced-english-1st/product-reviews/itmdkprvzqyaexmb?pid=9788126541812&srno=b_22&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"If you are comparing this book to the MORRISON AND BOYD then this one is sure better. The print quality will make you fall in love with organic chemistry. The questions provided are average. But the theory part is AWSMM !!!! The only book i personally feel can outmatch this book is BROWNE AND FOOTE . But that book is not set for IIT-JEE. It has some additional concepts as well. But yeah.... That is the best. But this one is definitely better than all other organic chemistry books (for theory) !","25 Jul 2014","Best among the competitors.","4","Hardik Maheshwari","http://www.flipkart.com/organic-chemistry-jee-main-advanced-english-1st/product-reviews/itmdkprvzqyaexmb?pid=9788126541812&srno=b_22&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"Simply the best book for organic chemistry for iit jee. Contains various types of good questions. This adapted version is better than the original one as it contains all the relevant concepts required for jee.","19 Jan 2015","Best book for Organic Chemistry","5","","http://www.flipkart.com/organic-chemistry-jee-main-advanced-english-1st/product-reviews/itmdkprvzqyaexmb?pid=9788126541812&srno=b_22&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"this book has been a boon to me. it covers almost every topic in a very elaborated way. i would recommend it to every organic lover and of course to those giving jee. 
the main problem is that it does not cover much problems. for that you may have to purchase some other book, in case you don t have q. banks or study materials. it also does not cover jee problems (prev yrs) and every chap has about 10-15 mcqs only and subjective questions are not quite worth doing. 
and the chapters are not given in ncert style and you may have to look for index for different topics. some topic which must be explained earlier are explained later on like aromatic compounds. 
but still, if you have the courage, and you want to understand the organic to the best of its level, this must be your choice!","21 Oct 2014","The World Of ORGANIC on your TIPS!","5","Utkarsh Tripathi","http://www.flipkart.com/organic-chemistry-jee-main-advanced-english-1st/product-reviews/itmdkprvzqyaexmb?pid=9788126541812&srno=b_22&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"This book is to the point. Chapters are followed by numericals. Really nice . Take a chance and buy it . But read it completely","24 Apr 2014","Buy if want a ticket to IIT","5","Tawseef Iqbal","http://www.flipkart.com/organic-chemistry-jee-main-advanced-english-1st/product-reviews/itmdkprvzqyaexmb?pid=9788126541812&srno=b_22&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"
 I bought this book for my jee mains & advance practice and it has helped me in resolving all my problems in organic chemistry.
It has an easy to understand language and is given with fine examples & exceptions. Apart from this it also has excercises based on topics that help you to test and analyse yourself.
All in all it is a must buy for all those who wish to score good in organic chemistry espacially in advance. 
best of luck for your exams guys (Y) :) ","08 Apr 2014","perfect guide for jee mains & advanced","5","","http://www.flipkart.com/organic-chemistry-jee-main-advanced-english-1st/product-reviews/itmdkprvzqyaexmb?pid=9788126541812&srno=b_22&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"This book is for concepts of Organic Chemistry, uptill now it has been a problem with foreign writer s books that questions are not included or if included they are insufficient for Entrance Exams in India but this book comes with a solution, since it is adapted by M.S. Chauhan, it has ample amount of questions, also content of the book is relevant for JEE, not included those parts which are irrelevant for JEE. 
 Also pages of book and text of the book make you fall in love with Organic and you won t feel like those foreign writer s book which are actually Xerox type (made for subcontinent students only, also cheaper than the original one).","30 Mar 2014","For JEE Aspirants!!!!","4","SHIVAM S. BAJPAI","http://www.flipkart.com/organic-chemistry-jee-main-advanced-english-1st/product-reviews/itmdkprvzqyaexmb?pid=9788126541812&srno=b_22&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"
 i bought this book from fipkart. the delivery was good.. and talking about the book, its awesome :D one ofthe best books for organic chemistry with each and every reaction.. the most important part being that it gives full mechanism of every reaction so eliminates the chance of any doubt indeed !! 
Just buy it :D ","06 Dec 2013","Amazing and a Perfect book :)","5","","http://www.flipkart.com/organic-chemistry-jee-main-advanced-english-1st/product-reviews/itmdkprvzqyaexmb?pid=9788126541812&srno=b_22&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"delivery was fast and packing was good 
latest at Rs500 that s a bargain
Pros:
1)the questions and theory are excellent and problems at the end are iit jee level
2)all topics covered perfectly
Cons:
1)Use carefully as binding might become undone","14 Sep 2013","Excellent book for concept strengthening","5","Aritra Mazumder","http://www.flipkart.com/organic-chemistry-jee-main-advanced-english-1st/product-reviews/itmdkprvzqyaexmb?pid=9788126541812&srno=b_22&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"First Solomons himself : Outstanding work . 
Second : adaptation by MSC : The book is good in explanations where solomons has been written as in original work . Then MSC adds his own stuff from JEE point of view . The added stuff is good content coverage wise but explanation wise its really weak . He has not taken any pains to explain his added stuff on the same level as solomons. This makes the book lopsided . Also some of the concepts added are not needed for JEE but thats alright ; its always good to know a little extra. 
Final word : Good book for coverage as compared to other similar stuff available in the market . But not self sufficient for self study . Buy it to supplement your studies if you are in a coaching .","14 Jan 2014","Lopsided revision...could have been done better...","3","Akhilesh Kumar","http://www.flipkart.com/organic-chemistry-jee-main-advanced-english-1st/product-reviews/itmdkprvzqyaexmb?pid=9788126541812&srno=b_22&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
