"name"|"cost"|"discount"|"originalPrice"|"ratings"|"noReviews"|"votes"|"Product Weight"|"Age Group"|"Type"|"Ideal For"|"Number of Contents"|"Size"|"Powered by"|" "|"Product Depth"|"Product Width"|"Country of Manufacture"|"Filling Material"|"Product Height"|"Rechargeable"|"Battery Type"|"Character"|"Series"|"Washable"|"Sound Support"|"Height"|"Width"|"External Material"|" The design of the giraffe may slightly vary from what is shown in the image "|"Depth"|" Ribbons may vary "|" Color may slightly vary. "|" Color and Style of the Bow may vary "|" Exact color of product may vary from the color in the image "|" Customer may get any one of the two product based on availability "|" The bow color of the delivered doll may vary from what is shown in the image "|" The ribbon color and the design may vary from what is shown in the image. "|"Brand"|"Machine Washable"|"With Pillow Cover"|"Ideal Usage"|"Model Name"|"Model ID"|"Color"|"Sales Package"|" The color of bow of the delivered product may vary from what is shown in the image "|" The design of the delivered product may slightly vary from what is shown in the image "|" The color of the product displayed may differ from the actual product, Due to scarcity of this product, color of muffler may vary. "|" Color may slightly vary "|""|ImageURL"
Surbhi Panda 14inchs - 14.2 Inch|660||||||270 g|3 - 99 Years|Pets & Animals|N/A|N/A|14.2 Inch|N/A|N/A|8.6 inch|8.6 inch|India|Polyester Fiber|N/A|N/A|N/A|Panda|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Tickles Elephant with Two Babies - 22 inch|1799|28%|2500||||400 g|3 - 6 Years|Pets & Animals|N/A|N/A|Large, 22 inch|N/A|N/A|10 inch|21 inch|India|Fiber|22 inch|N/A|N/A|N/A|Animal Shop|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Frog - 12 Inch|490|30%|700||||225 g|3 - 12 Years|Pets & Animals|N/A|N/A|12 Inch|N/A|N/A|6 inch|10 inch|India|Polyester|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Trudi Puppet Fox ? Stuffed Toy - 9.8 inch|1099||||||0.5 g|3 - 5 Years|Puppets|N/A|N/A|Medium, 9.8 inch|N/A|N/A|9.8 inch|4 inch|Italy|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Perfect Petzzz Golden Retriever|2999|||4.9|1|10|840 g|3 - 16 Years|Pets & Animals|Girls, Boys|N/A|N/A|Battery|D Size Battery|N/A|N/A|China|N/A|N/A|No|1 Alkaline Battery|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Chick - 15.7 Inch|440|37%|699||||360 g|0 - 25 Years|Pets & Animals|N/A|N/A|15.7 Inch|N/A|N/A|7.9 inch|11.8 inch|India|Polyester|N/A|N/A|N/A|Pets|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Elephant - 13.7 inch|480|31%|699||||250 g|2 - 20 Years|Pets & Animals|N/A|N/A|13.7 inch|N/A|N/A|5.9 inch|7.9 inch|India|Polyester|N/A|N/A|N/A|Pets|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Teddy Bear - 16.9 inch|800|30%|1150||||735 g|3 - 99 Years|Teddy Bears|N/A|N/A|16.9 inch|N/A|N/A|10 inch|12.8 inch|India|PLOYERSTER FIBER|14 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Simba Sitting Talk Back and Poke Me Ben - 11.5 inch|2899|3%|2999|4|1|3|455 g|3 - 20 Years|Interactive Soft Toys|Girls, Boys|1|11.5 inch|Battery|Batteries Included, 1 Stuffed Toy|N/A|N/A|China|N/A|N/A|No|3 AA Batteries|N/A|N/A|No|Yes|11.5 inch|11.2 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Teddy Sitting - 17 Inch|900|30%|1300||||800 g|3 - 99 Years|Teddy Bears|N/A|N/A|17 Inch|N/A|N/A|6 inch|10 inch|India|Polyester Fiber|N/A|N/A|N/A|Teddy Bear|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
