"name"|"cost"|"discount"|"originalPrice"|"ratings"|"noReviews"|"votes"|"Product Weight"|"Product Depth"|"Product Width"|"Product Height"|"Country of Manufacture"|"Age Group"|"Type"|"Series"|"Filling Material"|"Size"|"Washable"|"Ideal For"|"Number of Contents"|"Character"|"Rechargeable"|"Powered by"|"Battery Type"|" "|" Hamleys is available online exclusively on Flipkart. "|"Height"|"Width"|"Depth"|"External Material"|"Machine Washable"|"Brand"|"With Pillow Cover"|"Ideal Usage"|"Model Name"|"Model ID"|"Color"|"Sales Package"|" For Safety Sake, Remove All Tags and Plastic Loops Before Giving this Item to the Child "|"Weight"|"Sound Support"|" The color of the delivered product may vary from what is shown in the image "|" Customer may get any one of the two product based on availability "|" Color may slightly vary. "|" The design of the giraffe may slightly vary from what is shown in the image "|" Ribbons may vary "|" Color and Style of the Bow may vary "|" Exact color of product may vary from the color in the image "|" The bow color of the delivered doll may vary from what is shown in the image "|" The ribbon color and the design may vary from what is shown in the image. "|" The color of bow of the delivered product may vary from what is shown in the image "|" The design of the delivered product may slightly vary from what is shown in the image "|" The color of the product displayed may differ from the actual product, Due to scarcity of this product, color of muffler may vary. "|" Color may slightly vary "|" Color may vary. "|" Product displayed on the website may slightly vary. "|" Color of the ball might vary "|" Colour of the Pot might Vary "|""|ImageURL"
Angry Birds Back Pack Clip - 3 inch|199|9%|219|4.5|||40 g|2.36 inch|3.74 inch|6.3 inch|China|6 - 11 Years|Cushions & Pillows|N/A|N/A|3 inch|N/A|Boys, Girls|1|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Lamaze Play & Grow Lulu in a Tutu Toy|479|40%|799||||114 g|4.88 inch|8.5 inch|8.5 inch|China|0 - 2 Years|Cartoon Characters|N/A|N/A|N/A|N/A|Boys, Girls|N/A|N/A|N/A|N/A|N/A|Includes Crinkly Tutu, Busy Beads, Colorful Ribbon, Multiple Textures and a Rattle, Attaches to Play Mats, Diaper Bag and Strolllers for On-the-go Fun|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
NSK SOFT TOYS Giraffe - 23.6 inch|549|8%|600||||380 g|11.81 inch|6.7 inch|N/A|India|3 - 20 Years|Pets & Animals|NSK SOFT TOYS|Polyester|23.6 inch|N/A|N/A|N/A|Giraffe|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Tabby Beautiful Parrot Stuff Bird - 24 inch|399|50%|799||||200 g|6 inch|8 inch|20 inch|India|1 - 14 Years|Pets & Animals|N/A|N/A|24 inch, 24 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Play N Pets Flying Frog - 13.78 inch|499|||5|||190 g|3.94 inch|13.78 inch|4.72 inch|India|1 - 8 Years|Pets & Animals|N/A|Polyester|13.78 inch|N/A|Boys, Girls|1|N/A|N/A|Non Battery|N/A|Machine Washable|N/A|22.44 inch|30.31 inch|22.44 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Ty Posy Pink Chick - 6.1 inch|313|15%|369|5|||72 g|2.5 inch|4.5 inch|6.1 inch|USA|1 - 8 Years|Pets & Animals|N/A|N/A|6.1 inch|N/A|Girls, Boys|1|N/A|N/A|N/A|N/A|Polypack|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Bull Dog - 7.9 inch|170|31%|249||||140 g|4.7 inch|4.7 inch|N/A|India|3 - 98 Years|Pets & Animals|N/A|Polyester Fiber|7.9 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Wild Republic Hug Ems Giraffe - 12.1 inch|575|||4.4|||198 g|6 inch|6.4 inch|12.1 inch|China|2 - 10 Years|Pets & Animals|N/A|N/A|12.1 inch|Yes|Girls, Boys|N/A|N/A|N/A|Non Battery|N/A|Surface Wash|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
NSK SOFT TOYS Dinosaur - 18.9 inch|599|7%|650||||280 g|21.6 inch|5.1 inch|N/A|India|3 - 20 Years|Pets & Animals|NSK SOFT TOYS|Polyester|18.9 inch|N/A|N/A|N/A|Dinosaur|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Disney Minnie Flopsie - 10 inch|639|20%|799||||150 g|N/A|N/A|N/A|China|3 - 15 Years|Cartoon Characters|N/A|N/A|10 inch|Yes|Girls|N/A|Minnie Mouse|N/A|Non Battery|N/A|1 Minnie Flopsie|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
